question_id,question_text,option_a,option_b,option_c,option_d,correct_option,category,difficulty_level,age_group,skill_tested,time_limit_sec,marks
Q56,Ravi bought 3 pencils for ₹5 each. How much did he spend?,10,15,20,25,B,Math,Easy,10-11,Word Problems,20,1
Q57,"You saw: Dog, Cat, Rabbit. Which animal was not shown?",Dog,Rabbit,Lion,Cat,C,Memory,Medium,10-11,Recognition,24,2
Q58,"Look: Apple, Banana, Orange. Which fruit was first?",Banana,Apple,Orange,Grapes,B,Memory,Easy,8-9,Recall,50,1
Q59,"Which shape does not belong? Circle, Square, Triangle, Ball",Circle,Square,Triangle,Ball,D,Logic,Hard,11-12,Categorization,59,3
Q60,Which is heavier: 2 kg iron or 1 kg cotton?,Iron,Cotton,Both same,None,A,Logic,Hard,8-9,Comparison,55,3
Q61,Ravi bought 3 pencils for ₹5 each. How much did he spend?,10,15,20,25,B,Math,Easy,11-12,Word Problems,56,1
Q62,Which spelling is correct?,Enviroment,Environment,Environmant,Envirnment,B,Verbal,Hard,8-9,Spelling,30,3
Q63,What is 144 ÷ 12?,10,11,12,13,C,Math,Hard,10-11,Division,48,3
Q64,Choose the synonym of 'Big',Large,Tiny,Small,Weak,A,Verbal,Easy,8-9,Vocabulary,38,1
Q65,"Remember these numbers: 5, 9, 14. What was the second?",5,9,14,19,B,Memory,Medium,10-11,Recall,53,2
Q66,"You saw: Dog, Cat, Rabbit. Which animal was not shown?",Dog,Rabbit,Lion,Cat,C,Memory,Easy,10-11,Recognition,22,1
Q67,Which word rhymes with 'Night'?,Bit,Light,Not,Hit,B,Verbal,Hard,8-9,Phonics,48,3
Q68,"Remember this sequence: Red, Blue, Green, Yellow. Which was third?",Red,Blue,Green,Yellow,C,Memory,Easy,8-9,Sequencing,25,1
Q69,Choose the synonym of 'Big',Large,Tiny,Small,Weak,A,Verbal,Easy,8-9,Vocabulary,52,1
Q70,"Shown: Car, Bike, Bus. Which was last?",Car,Bus,Bike,Truck,B,Memory,Hard,9-10,Short-term Memory,43,3
Q71,What is 25 × 4?,50,75,100,125,C,Math,Medium,11-12,Multiplication,47,2
Q72,Which is heavier: 2 kg iron or 1 kg cotton?,Iron,Cotton,Both same,None,A,Logic,Hard,11-12,Comparison,47,3
Q73,Choose the antonym of 'Brave',Cowardly,Strong,Bold,Happy,A,Verbal,Easy,9-10,Vocabulary,25,1
Q74,"Which comes next in sequence: A, C, E, G, ?",H,I,J,K,C,Logic,Hard,8-9,Sequencing,23,3
Q75,"Remember these numbers: 5, 9, 14. What was the second?",5,9,14,19,B,Memory,Hard,10-11,Recall,20,3
Q76,Ravi bought 3 pencils for ₹5 each. How much did he spend?,10,15,20,25,B,Math,Medium,11-12,Word Problems,57,2
Q77,What is 25 × 4?,50,75,100,125,C,Math,Medium,9-10,Multiplication,27,2
Q78,Ravi bought 3 pencils for ₹5 each. How much did he spend?,10,15,20,25,B,Math,Hard,8-9,Word Problems,48,3
Q79,"Remember these numbers: 5, 9, 14. What was the second?",5,9,14,19,B,Memory,Easy,8-9,Recall,29,1
Q80,"If all cats are animals, and some animals are black, are all cats black?",Yes,No,Cannot Say,Maybe,C,Logic,Easy,10-11,Reasoning,30,1
Q81,Choose the antonym of 'Brave',Cowardly,Strong,Bold,Happy,A,Verbal,Medium,11-12,Vocabulary,29,2
Q82,Choose the synonym of 'Big',Large,Tiny,Small,Weak,A,Verbal,Easy,8-9,Vocabulary,38,1
Q83,Ravi bought 3 pencils for ₹5 each. How much did he spend?,10,15,20,25,B,Math,Medium,8-9,Word Problems,43,2
Q84,"You saw: Dog, Cat, Rabbit. Which animal was not shown?",Dog,Rabbit,Lion,Cat,C,Memory,Easy,9-10,Recognition,25,1
Q85,"Remember this sequence: Red, Blue, Green, Yellow. Which was third?",Red,Blue,Green,Yellow,C,Memory,Easy,8-9,Sequencing,22,1
Q86,"If all cats are animals, and some animals are black, are all cats black?",Yes,No,Cannot Say,Maybe,C,Logic,Easy,8-9,Reasoning,30,1
Q87,"Find the next number: 3, 6, 12, 24, ?",36,42,46,48,D,Logic,Easy,8-9,Pattern Recognition,22,1
Q88,Which is heavier: 2 kg iron or 1 kg cotton?,Iron,Cotton,Both same,None,A,Logic,Medium,8-9,Comparison,36,2
Q89,"Shown: Car, Bike, Bus. Which was last?",Car,Bus,Bike,Truck,B,Memory,Easy,9-10,Short-term Memory,35,1
Q90,"Shown: Car, Bike, Bus. Which was last?",Car,Bus,Bike,Truck,B,Memory,Easy,8-9,Short-term Memory,42,1
Q91,Ravi bought 3 pencils for ₹5 each. How much did he spend?,10,15,20,25,B,Math,Medium,8-9,Word Problems,54,2
Q92,What is 25 × 4?,50,75,100,125,C,Math,Medium,9-10,Multiplication,46,2
Q93,"Which comes next in sequence: A, C, E, G, ?",H,I,J,K,C,Logic,Hard,10-11,Sequencing,39,3
Q94,"If all cats are animals, and some animals are black, are all cats black?",Yes,No,Cannot Say,Maybe,C,Logic,Easy,8-9,Reasoning,53,1
Q95,"Look: Apple, Banana, Orange. Which fruit was first?",Banana,Apple,Orange,Grapes,B,Memory,Medium,11-12,Recall,29,2
Q96,"A box has 24 apples. If 6 apples are eaten, how many remain?",16,18,20,22,B,Math,Hard,8-9,Subtraction,25,3
Q97,Which is heavier: 2 kg iron or 1 kg cotton?,Iron,Cotton,Both same,None,A,Logic,Easy,11-12,Comparison,33,1
Q98,Fill in the blank: The Earth ____ around the Sun.,Move,Moves,Moving,Moved,B,Verbal,Easy,10-11,Grammar,37,1
Q99,What is the perimeter of a square with side 8 cm?,16,24,28,32,D,Math,Easy,8-9,Geometry,45,1
Q100,Fill in the blank: The Earth ____ around the Sun.,Move,Moves,Moving,Moved,B,Verbal,Medium,9-10,Grammar,32,2
Q101,"You saw: Dog, Cat, Rabbit. Which animal was not shown?",Dog,Rabbit,Lion,Cat,C,Memory,Hard,9-10,Recognition,37,3
Q102,"You saw: Dog, Cat, Rabbit. Which animal was not shown?",Dog,Rabbit,Lion,Cat,C,Memory,Easy,10-11,Recognition,47,1
Q103,Which is heavier: 2 kg iron or 1 kg cotton?,Iron,Cotton,Both same,None,A,Logic,Medium,10-11,Comparison,32,2
Q104,Choose the antonym of 'Brave',Cowardly,Strong,Bold,Happy,A,Verbal,Easy,10-11,Vocabulary,26,1
Q105,What is 144 ÷ 12?,10,11,12,13,C,Math,Medium,9-10,Division,53,2
Q106,"Which comes next in sequence: A, C, E, G, ?",H,I,J,K,C,Logic,Easy,9-10,Sequencing,53,1
Q107,"Which shape does not belong? Circle, Square, Triangle, Ball",Circle,Square,Triangle,Ball,D,Logic,Easy,11-12,Categorization,36,1
Q108,Which is heavier: 2 kg iron or 1 kg cotton?,Iron,Cotton,Both same,None,A,Logic,Hard,10-11,Comparison,47,3
Q109,Choose the antonym of 'Brave',Cowardly,Strong,Bold,Happy,A,Verbal,Hard,9-10,Vocabulary,52,3
Q110,"Shown: Car, Bike, Bus. Which was last?",Car,Bus,Bike,Truck,B,Memory,Easy,8-9,Short-term Memory,31,1
Q111,"Find the next number: 3, 6, 12, 24, ?",36,42,46,48,D,Logic,Medium,9-10,Pattern Recognition,46,2
Q112,Choose the antonym of 'Brave',Cowardly,Strong,Bold,Happy,A,Verbal,Medium,8-9,Vocabulary,37,2
Q113,What is the perimeter of a square with side 8 cm?,16,24,28,32,D,Math,Medium,8-9,Geometry,22,2
Q114,What is the perimeter of a square with side 8 cm?,16,24,28,32,D,Math,Medium,9-10,Geometry,50,2
Q115,"Which shape does not belong? Circle, Square, Triangle, Ball",Circle,Square,Triangle,Ball,D,Logic,Medium,9-10,Categorization,60,2
Q116,What is 144 ÷ 12?,10,11,12,13,C,Math,Hard,10-11,Division,48,3
Q117,"If all cats are animals, and some animals are black, are all cats black?",Yes,No,Cannot Say,Maybe,C,Logic,Easy,11-12,Reasoning,20,1
Q118,What is 25 × 4?,50,75,100,125,C,Math,Easy,9-10,Multiplication,34,1
Q119,"Look: Apple, Banana, Orange. Which fruit was first?",Banana,Apple,Orange,Grapes,B,Memory,Easy,9-10,Recall,52,1
Q120,Choose the synonym of 'Big',Large,Tiny,Small,Weak,A,Verbal,Easy,11-12,Vocabulary,50,1
Q121,What is the perimeter of a square with side 8 cm?,16,24,28,32,D,Math,Medium,10-11,Geometry,50,2
Q122,Choose the antonym of 'Brave',Cowardly,Strong,Bold,Happy,A,Verbal,Hard,8-9,Vocabulary,33,3
Q123,Choose the antonym of 'Brave',Cowardly,Strong,Bold,Happy,A,Verbal,Easy,9-10,Vocabulary,36,1
Q124,Ravi bought 3 pencils for ₹5 each. How much did he spend?,10,15,20,25,B,Math,Easy,10-11,Word Problems,46,1
Q125,"Remember these numbers: 5, 9, 14. What was the second?",5,9,14,19,B,Memory,Medium,8-9,Recall,48,2
Q126,Choose the synonym of 'Big',Large,Tiny,Small,Weak,A,Verbal,Hard,11-12,Vocabulary,36,3
Q127,"Find the next number: 3, 6, 12, 24, ?",36,42,46,48,D,Logic,Easy,8-9,Pattern Recognition,51,1
Q128,Ravi bought 3 pencils for ₹5 each. How much did he spend?,10,15,20,25,B,Math,Easy,9-10,Word Problems,54,1
Q129,"Remember this sequence: Red, Blue, Green, Yellow. Which was third?",Red,Blue,Green,Yellow,C,Memory,Easy,11-12,Sequencing,57,1
Q130,"Remember this sequence: Red, Blue, Green, Yellow. Which was third?",Red,Blue,Green,Yellow,C,Memory,Hard,8-9,Sequencing,49,3
Q131,"Remember these numbers: 5, 9, 14. What was the second?",5,9,14,19,B,Memory,Easy,11-12,Recall,38,1
Q132,"Look: Apple, Banana, Orange. Which fruit was first?",Banana,Apple,Orange,Grapes,B,Memory,Easy,8-9,Recall,45,1
Q133,Which word rhymes with 'Night'?,Bit,Light,Not,Hit,B,Verbal,Hard,10-11,Phonics,47,3
Q134,"Look: Apple, Banana, Orange. Which fruit was first?",Banana,Apple,Orange,Grapes,B,Memory,Hard,10-11,Recall,31,3
Q135,"Find the next number: 3, 6, 12, 24, ?",36,42,46,48,D,Logic,Hard,10-11,Pattern Recognition,24,3
Q136,"Which comes next in sequence: A, C, E, G, ?",H,I,J,K,C,Logic,Medium,9-10,Sequencing,49,2
Q137,"Remember these numbers: 5, 9, 14. What was the second?",5,9,14,19,B,Memory,Easy,11-12,Recall,46,1
Q138,Ravi bought 3 pencils for ₹5 each. How much did he spend?,10,15,20,25,B,Math,Medium,9-10,Word Problems,26,2
Q139,Which spelling is correct?,Enviroment,Environment,Environmant,Envirnment,B,Verbal,Hard,8-9,Spelling,24,3
Q140,"If all cats are animals, and some animals are black, are all cats black?",Yes,No,Cannot Say,Maybe,C,Logic,Medium,9-10,Reasoning,48,2
Q141,Choose the synonym of 'Big',Large,Tiny,Small,Weak,A,Verbal,Easy,9-10,Vocabulary,56,1
Q142,Ravi bought 3 pencils for ₹5 each. How much did he spend?,10,15,20,25,B,Math,Hard,11-12,Word Problems,52,3
Q143,Which spelling is correct?,Enviroment,Environment,Environmant,Envirnment,B,Verbal,Easy,11-12,Spelling,32,1
Q144,Which word rhymes with 'Night'?,Bit,Light,Not,Hit,B,Verbal,Easy,11-12,Phonics,28,1
Q145,Choose the antonym of 'Brave',Cowardly,Strong,Bold,Happy,A,Verbal,Hard,10-11,Vocabulary,56,3
Q146,"If all cats are animals, and some animals are black, are all cats black?",Yes,No,Cannot Say,Maybe,C,Logic,Medium,9-10,Reasoning,41,2
Q147,"Which comes next in sequence: A, C, E, G, ?",H,I,J,K,C,Logic,Medium,8-9,Sequencing,23,2
Q148,"Shown: Car, Bike, Bus. Which was last?",Car,Bus,Bike,Truck,B,Memory,Medium,11-12,Short-term Memory,24,2
Q149,Choose the antonym of 'Brave',Cowardly,Strong,Bold,Happy,A,Verbal,Hard,11-12,Vocabulary,58,3
Q150,Choose the antonym of 'Brave',Cowardly,Strong,Bold,Happy,A,Verbal,Easy,11-12,Vocabulary,46,1
Q151,"Find the next number: 3, 6, 12, 24, ?",36,42,46,48,D,Logic,Easy,11-12,Pattern Recognition,56,1
Q152,"Remember this sequence: Red, Blue, Green, Yellow. Which was third?",Red,Blue,Green,Yellow,C,Memory,Hard,11-12,Sequencing,59,3
Q153,"Remember this sequence: Red, Blue, Green, Yellow. Which was third?",Red,Blue,Green,Yellow,C,Memory,Hard,8-9,Sequencing,34,3
Q154,What is 144 ÷ 12?,10,11,12,13,C,Math,Medium,9-10,Division,26,2
Q155,"Remember these numbers: 5, 9, 14. What was the second?",5,9,14,19,B,Memory,Hard,9-10,Recall,37,3
Q156,Fill in the blank: The Earth ____ around the Sun.,Move,Moves,Moving,Moved,B,Verbal,Medium,11-12,Grammar,38,2
Q157,Which spelling is correct?,Enviroment,Environment,Environmant,Envirnment,B,Verbal,Hard,9-10,Spelling,28,3
Q158,"Which shape does not belong? Circle, Square, Triangle, Ball",Circle,Square,Triangle,Ball,D,Logic,Easy,9-10,Categorization,29,1
Q159,"Remember this sequence: Red, Blue, Green, Yellow. Which was third?",Red,Blue,Green,Yellow,C,Memory,Easy,10-11,Sequencing,46,1
Q160,"Remember this sequence: Red, Blue, Green, Yellow. Which was third?",Red,Blue,Green,Yellow,C,Memory,Easy,8-9,Sequencing,38,1
Q161,Which is heavier: 2 kg iron or 1 kg cotton?,Iron,Cotton,Both same,None,A,Logic,Hard,9-10,Comparison,35,3
Q162,"Which shape does not belong? Circle, Square, Triangle, Ball",Circle,Square,Triangle,Ball,D,Logic,Medium,11-12,Categorization,33,2
Q163,"A box has 24 apples. If 6 apples are eaten, how many remain?",16,18,20,22,B,Math,Hard,8-9,Subtraction,47,3
Q164,"Remember these numbers: 5, 9, 14. What was the second?",5,9,14,19,B,Memory,Hard,10-11,Recall,36,3
Q165,"Shown: Car, Bike, Bus. Which was last?",Car,Bus,Bike,Truck,B,Memory,Hard,11-12,Short-term Memory,21,3
Q166,"You saw: Dog, Cat, Rabbit. Which animal was not shown?",Dog,Rabbit,Lion,Cat,C,Memory,Hard,10-11,Recognition,58,3
Q167,Fill in the blank: The Earth ____ around the Sun.,Move,Moves,Moving,Moved,B,Verbal,Hard,9-10,Grammar,54,3
Q168,"If all cats are animals, and some animals are black, are all cats black?",Yes,No,Cannot Say,Maybe,C,Logic,Easy,11-12,Reasoning,27,1
Q169,Ravi bought 3 pencils for ₹5 each. How much did he spend?,10,15,20,25,B,Math,Easy,8-9,Word Problems,43,1
Q170,"Look: Apple, Banana, Orange. Which fruit was first?",Banana,Apple,Orange,Grapes,B,Memory,Medium,9-10,Recall,44,2
Q171,Which is heavier: 2 kg iron or 1 kg cotton?,Iron,Cotton,Both same,None,A,Logic,Easy,10-11,Comparison,44,1
Q172,"Shown: Car, Bike, Bus. Which was last?",Car,Bus,Bike,Truck,B,Memory,Hard,10-11,Short-term Memory,51,3
Q173,Choose the synonym of 'Big',Large,Tiny,Small,Weak,A,Verbal,Hard,11-12,Vocabulary,43,3
Q174,Fill in the blank: The Earth ____ around the Sun.,Move,Moves,Moving,Moved,B,Verbal,Medium,10-11,Grammar,49,2
Q175,Ravi bought 3 pencils for ₹5 each. How much did he spend?,10,15,20,25,B,Math,Easy,11-12,Word Problems,35,1
Q176,Which spelling is correct?,Enviroment,Environment,Environmant,Envirnment,B,Verbal,Easy,8-9,Spelling,39,1
Q177,"If all cats are animals, and some animals are black, are all cats black?",Yes,No,Cannot Say,Maybe,C,Logic,Medium,8-9,Reasoning,22,2
Q178,What is 25 × 4?,50,75,100,125,C,Math,Easy,9-10,Multiplication,26,1
Q179,"You saw: Dog, Cat, Rabbit. Which animal was not shown?",Dog,Rabbit,Lion,Cat,C,Memory,Hard,9-10,Recognition,55,3
Q180,What is 144 ÷ 12?,10,11,12,13,C,Math,Medium,11-12,Division,43,2
Q181,"Shown: Car, Bike, Bus. Which was last?",Car,Bus,Bike,Truck,B,Memory,Medium,11-12,Short-term Memory,51,2
Q182,What is 25 × 4?,50,75,100,125,C,Math,Medium,11-12,Multiplication,42,2
Q183,"Remember these numbers: 5, 9, 14. What was the second?",5,9,14,19,B,Memory,Hard,11-12,Recall,21,3
Q184,"A box has 24 apples. If 6 apples are eaten, how many remain?",16,18,20,22,B,Math,Hard,8-9,Subtraction,56,3
Q185,"Remember this sequence: Red, Blue, Green, Yellow. Which was third?",Red,Blue,Green,Yellow,C,Memory,Hard,11-12,Sequencing,51,3
Q186,What is the perimeter of a square with side 8 cm?,16,24,28,32,D,Math,Hard,11-12,Geometry,43,3
Q187,Choose the synonym of 'Big',Large,Tiny,Small,Weak,A,Verbal,Medium,11-12,Vocabulary,47,2
Q188,Choose the synonym of 'Big',Large,Tiny,Small,Weak,A,Verbal,Easy,10-11,Vocabulary,39,1
Q189,"Remember these numbers: 5, 9, 14. What was the second?",5,9,14,19,B,Memory,Easy,10-11,Recall,41,1
Q190,Fill in the blank: The Earth ____ around the Sun.,Move,Moves,Moving,Moved,B,Verbal,Medium,10-11,Grammar,27,2
Q191,"Remember these numbers: 5, 9, 14. What was the second?",5,9,14,19,B,Memory,Easy,11-12,Recall,24,1
Q192,"A box has 24 apples. If 6 apples are eaten, how many remain?",16,18,20,22,B,Math,Hard,10-11,Subtraction,60,3
Q193,Ravi bought 3 pencils for ₹5 each. How much did he spend?,10,15,20,25,B,Math,Medium,11-12,Word Problems,33,2
Q194,What is 144 ÷ 12?,10,11,12,13,C,Math,Medium,9-10,Division,58,2
Q195,"Which shape does not belong? Circle, Square, Triangle, Ball",Circle,Square,Triangle,Ball,D,Logic,Medium,11-12,Categorization,47,2
Q196,"You saw: Dog, Cat, Rabbit. Which animal was not shown?",Dog,Rabbit,Lion,Cat,C,Memory,Medium,8-9,Recognition,33,2
Q197,"If all cats are animals, and some animals are black, are all cats black?",Yes,No,Cannot Say,Maybe,C,Logic,Easy,9-10,Reasoning,43,1
Q198,What is the perimeter of a square with side 8 cm?,16,24,28,32,D,Math,Hard,10-11,Geometry,49,3
Q199,Which is heavier: 2 kg iron or 1 kg cotton?,Iron,Cotton,Both same,None,A,Logic,Easy,11-12,Comparison,43,1
Q200,"Remember these numbers: 5, 9, 14. What was the second?",5,9,14,19,B,Memory,Hard,10-11,Recall,51,3
Q201,What is 144 ÷ 12?,10,11,12,13,C,Math,Hard,8-9,Division,45,3
Q202,Fill in the blank: The Earth ____ around the Sun.,Move,Moves,Moving,Moved,B,Verbal,Medium,9-10,Grammar,24,2
Q203,What is 144 ÷ 12?,10,11,12,13,C,Math,Easy,11-12,Division,35,1
Q204,"A box has 24 apples. If 6 apples are eaten, how many remain?",16,18,20,22,B,Math,Medium,10-11,Subtraction,37,2
Q205,"A box has 24 apples. If 6 apples are eaten, how many remain?",16,18,20,22,B,Math,Easy,11-12,Subtraction,23,1
Q206,"Find the next number: 3, 6, 12, 24, ?",36,42,46,48,D,Logic,Easy,8-9,Pattern Recognition,59,1
Q207,What is the perimeter of a square with side 8 cm?,16,24,28,32,D,Math,Medium,11-12,Geometry,22,2
Q208,"Which comes next in sequence: A, C, E, G, ?",H,I,J,K,C,Logic,Medium,11-12,Sequencing,23,2
Q209,"You saw: Dog, Cat, Rabbit. Which animal was not shown?",Dog,Rabbit,Lion,Cat,C,Memory,Easy,9-10,Recognition,41,1
Q210,What is the perimeter of a square with side 8 cm?,16,24,28,32,D,Math,Easy,10-11,Geometry,39,1
Q211,"Which shape does not belong? Circle, Square, Triangle, Ball",Circle,Square,Triangle,Ball,D,Logic,Hard,9-10,Categorization,28,3
Q212,Choose the synonym of 'Big',Large,Tiny,Small,Weak,A,Verbal,Hard,11-12,Vocabulary,21,3
Q213,"Look: Apple, Banana, Orange. Which fruit was first?",Banana,Apple,Orange,Grapes,B,Memory,Hard,11-12,Recall,58,3
Q214,"Which shape does not belong? Circle, Square, Triangle, Ball",Circle,Square,Triangle,Ball,D,Logic,Easy,9-10,Categorization,24,1
Q215,What is the perimeter of a square with side 8 cm?,16,24,28,32,D,Math,Hard,11-12,Geometry,56,3
Q216,"Remember this sequence: Red, Blue, Green, Yellow. Which was third?",Red,Blue,Green,Yellow,C,Memory,Hard,9-10,Sequencing,45,3
Q217,"You saw: Dog, Cat, Rabbit. Which animal was not shown?",Dog,Rabbit,Lion,Cat,C,Memory,Easy,10-11,Recognition,49,1
Q218,Ravi bought 3 pencils for ₹5 each. How much did he spend?,10,15,20,25,B,Math,Easy,10-11,Word Problems,49,1
Q219,"A box has 24 apples. If 6 apples are eaten, how many remain?",16,18,20,22,B,Math,Medium,11-12,Subtraction,47,2
Q220,What is the perimeter of a square with side 8 cm?,16,24,28,32,D,Math,Easy,9-10,Geometry,57,1
Q221,What is 25 × 4?,50,75,100,125,C,Math,Medium,10-11,Multiplication,46,2
Q222,What is 144 ÷ 12?,10,11,12,13,C,Math,Easy,10-11,Division,34,1
Q223,"A box has 24 apples. If 6 apples are eaten, how many remain?",16,18,20,22,B,Math,Medium,8-9,Subtraction,34,2
